fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
2507,MA,07,"Massachusetts Congressional District 7",,,,,"Ayanna Pressley","Democrat","https://environmentalenforcementwatch.org/report_cards/MA07_2024.pdf"
3608,NY,08,"New York Congressional District 8",,,,,"Hakeem S. Jeffries","Democrat","https://environmentalenforcementwatch.org/report_cards/NY08_2024.pdf"
0630,CA,30,"California Congressional District 30",,,,,"Adam B. Schiff","Democrat","https://environmentalenforcementwatch.org/report_cards/CA30_2024.pdf"
5309,WA,09,"Washington Congressional District 9",,,,,"Adam Smith","Democrat","https://environmentalenforcementwatch.org/report_cards/WA09_2024.pdf"
4005,OK,05,"Oklahoma Congressional District 5",,,,,"Stephanie I. Bice","Republican","https://environmentalenforcementwatch.org/report_cards/OK05_2024.pdf"
4807,TX,07,"Texas Congressional District 7",,,,,"Lizzie Fletcher","Democrat","https://environmentalenforcementwatch.org/report_cards/TX07_2024.pdf"
6098,AS,98,"American Samoa Delegate District (at Large)",,,,,"Aumua Amata Coleman Radewagen","Republican","https://environmentalenforcementwatch.org/report_cards/AS00_2024.pdf"
6698,GU,98,"Guam Delegate District (at Large)",,,,,"James C. Moylan","Republican","https://environmentalenforcementwatch.org/report_cards/GU00_2024.pdf"
0649,CA,49,"California Congressional District 49",,,,,"Mike Levin","Democrat","https://environmentalenforcementwatch.org/report_cards/CA49_2024.pdf"
1228,FL,28,"Florida Congressional District 28",,,,,"Carlos A. Gimenez","Republican","https://environmentalenforcementwatch.org/report_cards/FL28_2024.pdf"
1214,FL,14,"Florida Congressional District 14",,,,,"Kathy Castor","Democrat","https://environmentalenforcementwatch.org/report_cards/FL14_2024.pdf"
3706,NC,06,"North Carolina Congressional District 6",,,,,"Kathy E. Manning","Democrat","https://environmentalenforcementwatch.org/report_cards/NC06_2024.pdf"
3616,NY,16,"New York Congressional District 16",,,,,"Jamaal Bowman","Democrat","https://environmentalenforcementwatch.org/report_cards/NY16_2024.pdf"
0640,CA,40,"California Congressional District 40",,,,,"Young Kim","Republican","https://environmentalenforcementwatch.org/report_cards/CA40_2024.pdf"
0609,CA,09,"California Congressional District 9",,,,,"Josh Harder","Democrat","https://environmentalenforcementwatch.org/report_cards/CA09_2024.pdf"
3201,NV,01,"Nevada Congressional District 1",,,,,"Dina Titus","Democrat","https://environmentalenforcementwatch.org/report_cards/NV01_2024.pdf"
6998,MP,98,"Northern Mariana Islands Delegate District (at Large)",,,,,"Gregorio Kilili Camacho Sablan","Democrat","https://environmentalenforcementwatch.org/report_cards/MP00_2024.pdf"
1220,FL,20,"Florida Congressional District 20",,,,,"Sheila Cherfilus-McCormick","Democrat","https://environmentalenforcementwatch.org/report_cards/FL20_2024.pdf"
0404,AZ,04,"Arizona Congressional District 4",,,,,"Greg Stanton","Democrat","https://environmentalenforcementwatch.org/report_cards/AZ04_2024.pdf"
3102,NE,02,"Nebraska Congressional District 2",,,,,"Don Bacon","Republican","https://environmentalenforcementwatch.org/report_cards/NE02_2024.pdf"
